municipality,citizenship_status,year,working_age_population
Aabenraa,Danish citizen,2008,35727
Aabenraa,Danish citizen,2009,35602
Aabenraa,Danish citizen,2010,35108
Aabenraa,Danish citizen,2011,34577
Aabenraa,Danish citizen,2012,34106
Aabenraa,Danish citizen,2013,33583
Aabenraa,Danish citizen,2014,33093
Aabenraa,Danish citizen,2015,32770
Aabenraa,Danish citizen,2016,32434
Aabenraa,Danish citizen,2017,32083
Aabenraa,Danish citizen,2018,31811
Aabenraa,Danish citizen,2019,31368
Aabenraa,Danish citizen,2020,30992
Aabenraa,Danish citizen,2021,30695
Aabenraa,Danish citizen,2022,30179
Aabenraa,Danish citizen,2023,29617
Aabenraa,Danish citizen,2024,29054
Aabenraa,Danish citizen,2025,28673
Aabenraa,Danish citizen,2026,28201
Aabenraa,Foreign citizen,2008,3094
Aabenraa,Foreign citizen,2009,3246
Aabenraa,Foreign citizen,2010,3240
Aabenraa,Foreign citizen,2011,3306
Aabenraa,Foreign citizen,2012,3396
Aabenraa,Foreign citizen,2013,3431
Aabenraa,Foreign citizen,2014,3566
Aabenraa,Foreign citizen,2015,3696
Aabenraa,Foreign citizen,2016,3922
Aabenraa,Foreign citizen,2017,4126
Aabenraa,Foreign citizen,2018,4323
Aabenraa,Foreign citizen,2019,4506
Aabenraa,Foreign citizen,2020,4620
Aabenraa,Foreign citizen,2021,4632
Aabenraa,Foreign citizen,2022,4952
Aabenraa,Foreign citizen,2023,5554
Aabenraa,Foreign citizen,2024,5774
Aabenraa,Foreign citizen,2025,6051
Aabenraa,Foreign citizen,2026,6289
Aalborg,Danish citizen,2008,125197
Aalborg,Danish citizen,2009,125255
Aalborg,Danish citizen,2010,125552
Aalborg,Danish citizen,2011,125557
Aalborg,Danish citizen,2012,125924
Aalborg,Danish citizen,2013,126703
Aalborg,Danish citizen,2014,127699
Aalborg,Danish citizen,2015,128425
Aalborg,Danish citizen,2016,128935
Aalborg,Danish citizen,2017,129549
Aalborg,Danish citizen,2018,130129
Aalborg,Danish citizen,2019,131078
Aalborg,Danish citizen,2020,132316
Aalborg,Danish citizen,2021,133983
Aalborg,Danish citizen,2022,134650
Aalborg,Danish citizen,2023,134697
Aalborg,Danish citizen,2024,134760
Aalborg,Danish citizen,2025,135288
Aalborg,Danish citizen,2026,135470
Aalborg,Foreign citizen,2008,7330
Aalborg,Foreign citizen,2009,7887
Aalborg,Foreign citizen,2010,8029
Aalborg,Foreign citizen,2011,8849
Aalborg,Foreign citizen,2012,9521
Aalborg,Foreign citizen,2013,10074
Aalborg,Foreign citizen,2014,10785
Aalborg,Foreign citizen,2015,11383
Aalborg,Foreign citizen,2016,12680
Aalborg,Foreign citizen,2017,12857
Aalborg,Foreign citizen,2018,13083
Aalborg,Foreign citizen,2019,13297
Aalborg,Foreign citizen,2020,13078
Aalborg,Foreign citizen,2021,13113
Aalborg,Foreign citizen,2022,13370
Aalborg,Foreign citizen,2023,14133
Aalborg,Foreign citizen,2024,14162
Aalborg,Foreign citizen,2025,14615
Aalborg,Foreign citizen,2026,15308
Aarhus,Danish citizen,2008,193797
Aarhus,Danish citizen,2009,195545
Aarhus,Danish citizen,2010,198092
Aarhus,Danish citizen,2011,199782
Aarhus,Danish citizen,2012,200799
Aarhus,Danish citizen,2013,202499
Aarhus,Danish citizen,2014,204598
Aarhus,Danish citizen,2015,205880
Aarhus,Danish citizen,2016,207271
Aarhus,Danish citizen,2017,210051
Aarhus,Danish citizen,2018,211862
Aarhus,Danish citizen,2019,214028
Aarhus,Danish citizen,2020,215989
Aarhus,Danish citizen,2021,218851
Aarhus,Danish citizen,2022,219418
Aarhus,Danish citizen,2023,221124
Aarhus,Danish citizen,2024,224144
Aarhus,Danish citizen,2025,227446
Aarhus,Danish citizen,2026,229594
Aarhus,Foreign citizen,2008,16642
Aarhus,Foreign citizen,2009,18308
Aarhus,Foreign citizen,2010,18470
Aarhus,Foreign citizen,2011,19806
Aarhus,Foreign citizen,2012,20794
Aarhus,Foreign citizen,2013,22286
Aarhus,Foreign citizen,2014,23581
Aarhus,Foreign citizen,2015,23136
Aarhus,Foreign citizen,2016,24357
Aarhus,Foreign citizen,2017,24922
Aarhus,Foreign citizen,2018,26192
Aarhus,Foreign citizen,2019,27357
Aarhus,Foreign citizen,2020,28721
Aarhus,Foreign citizen,2021,27130
Aarhus,Foreign citizen,2022,28361
Aarhus,Foreign citizen,2023,31516
Aarhus,Foreign citizen,2024,32725
Aarhus,Foreign citizen,2025,34278
Aarhus,Foreign citizen,2026,35525
Albertslund,Danish citizen,2008,16018
Albertslund,Danish citizen,2009,15742
Albertslund,Danish citizen,2010,15649
Albertslund,Danish citizen,2011,15433
Albertslund,Danish citizen,2012,15333
Albertslund,Danish citizen,2013,15090
Albertslund,Danish citizen,2014,14881
Albertslund,Danish citizen,2015,14890
Albertslund,Danish citizen,2016,14918
Albertslund,Danish citizen,2017,14863
Albertslund,Danish citizen,2018,14764
Albertslund,Danish citizen,2019,14686
Albertslund,Danish citizen,2020,14594
Albertslund,Danish citizen,2021,14393
Albertslund,Danish citizen,2022,14324
Albertslund,Danish citizen,2023,14097
Albertslund,Danish citizen,2024,14087
Albertslund,Danish citizen,2025,14136
Albertslund,Danish citizen,2026,14454
Albertslund,Foreign citizen,2008,2754
Albertslund,Foreign citizen,2009,2873
Albertslund,Foreign citizen,2010,2878
Albertslund,Foreign citizen,2011,2939
Albertslund,Foreign citizen,2012,2939
Albertslund,Foreign citizen,2013,2986
Albertslund,Foreign citizen,2014,3062
Albertslund,Foreign citizen,2015,2992
Albertslund,Foreign citizen,2016,2992
Albertslund,Foreign citizen,2017,3056
Albertslund,Foreign citizen,2018,3003
Albertslund,Foreign citizen,2019,3162
Albertslund,Foreign citizen,2020,3137
Albertslund,Foreign citizen,2021,3054
Albertslund,Foreign citizen,2022,3264
Albertslund,Foreign citizen,2023,3484
Albertslund,Foreign citizen,2024,3642
Albertslund,Foreign citizen,2025,3960
Albertslund,Foreign citizen,2026,4533
Allerød,Danish citizen,2008,14037
Allerød,Danish citizen,2009,14066
Allerød,Danish citizen,2010,14129
Allerød,Danish citizen,2011,13938
Allerød,Danish citizen,2012,13773
Allerød,Danish citizen,2013,13706
Allerød,Danish citizen,2014,13627
Allerød,Danish citizen,2015,13719
Allerød,Danish citizen,2016,13773
Allerød,Danish citizen,2017,13817
Allerød,Danish citizen,2018,13957
Allerød,Danish citizen,2019,14152
Allerød,Danish citizen,2020,14122
Allerød,Danish citizen,2021,14170
Allerød,Danish citizen,2022,14000
Allerød,Danish citizen,2023,13946
Allerød,Danish citizen,2024,13907
Allerød,Danish citizen,2025,13972
Allerød,Danish citizen,2026,14077
Allerød,Foreign citizen,2008,717
Allerød,Foreign citizen,2009,753
Allerød,Foreign citizen,2010,761
Allerød,Foreign citizen,2011,788
Allerød,Foreign citizen,2012,801
Allerød,Foreign citizen,2013,811
Allerød,Foreign citizen,2014,862
Allerød,Foreign citizen,2015,922
Allerød,Foreign citizen,2016,1064
Allerød,Foreign citizen,2017,1140
Allerød,Foreign citizen,2018,1167
Allerød,Foreign citizen,2019,1199
Allerød,Foreign citizen,2020,1202
Allerød,Foreign citizen,2021,1235
Allerød,Foreign citizen,2022,1262
Allerød,Foreign citizen,2023,1418
Allerød,Foreign citizen,2024,1428
Allerød,Foreign citizen,2025,1443
Allerød,Foreign citizen,2026,1476
Assens,Danish citizen,2008,25861
Assens,Danish citizen,2009,25781
Assens,Danish citizen,2010,25646
Assens,Danish citizen,2011,25264
Assens,Danish citizen,2012,24917
Assens,Danish citizen,2013,24510
Assens,Danish citizen,2014,24039
Assens,Danish citizen,2015,23798
Assens,Danish citizen,2016,23672
Assens,Danish citizen,2017,23581
Assens,Danish citizen,2018,23433
Assens,Danish citizen,2019,23151
Assens,Danish citizen,2020,22970
Assens,Danish citizen,2021,22699
Assens,Danish citizen,2022,22649
Assens,Danish citizen,2023,22350
Assens,Danish citizen,2024,22092
Assens,Danish citizen,2025,21839
Assens,Danish citizen,2026,21537
Assens,Foreign citizen,2008,813
Assens,Foreign citizen,2009,907
Assens,Foreign citizen,2010,919
Assens,Foreign citizen,2011,927
Assens,Foreign citizen,2012,932
Assens,Foreign citizen,2013,1013
Assens,Foreign citizen,2014,1137
Assens,Foreign citizen,2015,1329
Assens,Foreign citizen,2016,1595
Assens,Foreign citizen,2017,1734
Assens,Foreign citizen,2018,1828
Assens,Foreign citizen,2019,1928
Assens,Foreign citizen,2020,1843
Assens,Foreign citizen,2021,1842
Assens,Foreign citizen,2022,1990
Assens,Foreign citizen,2023,2217
Assens,Foreign citizen,2024,2262
Assens,Foreign citizen,2025,2346
Assens,Foreign citizen,2026,2437
Ballerup,Danish citizen,2008,27522
Ballerup,Danish citizen,2009,27408
Ballerup,Danish citizen,2010,27292
Ballerup,Danish citizen,2011,27140
Ballerup,Danish citizen,2012,26960
Ballerup,Danish citizen,2013,27021
Ballerup,Danish citizen,2014,26992
Ballerup,Danish citizen,2015,26770
Ballerup,Danish citizen,2016,26593
Ballerup,Danish citizen,2017,26559
Ballerup,Danish citizen,2018,26474
Ballerup,Danish citizen,2019,26460
Ballerup,Danish citizen,2020,26393
Ballerup,Danish citizen,2021,26785
Ballerup,Danish citizen,2022,26506
Ballerup,Danish citizen,2023,26497
Ballerup,Danish citizen,2024,27015
Ballerup,Danish citizen,2025,27446
Ballerup,Danish citizen,2026,27527
Ballerup,Foreign citizen,2008,2310
Ballerup,Foreign citizen,2009,2495
Ballerup,Foreign citizen,2010,2659
Ballerup,Foreign citizen,2011,2856
Ballerup,Foreign citizen,2012,2894
Ballerup,Foreign citizen,2013,2884
Ballerup,Foreign citizen,2014,3061
Ballerup,Foreign citizen,2015,3051
Ballerup,Foreign citizen,2016,3140
Ballerup,Foreign citizen,2017,3163
Ballerup,Foreign citizen,2018,3289
Ballerup,Foreign citizen,2019,3492
Ballerup,Foreign citizen,2020,3604
Ballerup,Foreign citizen,2021,3776
Ballerup,Foreign citizen,2022,4035
Ballerup,Foreign citizen,2023,4634
Ballerup,Foreign citizen,2024,5218
Ballerup,Foreign citizen,2025,6019
Ballerup,Foreign citizen,2026,6673
Billund,Danish citizen,2008,15941
Billund,Danish citizen,2009,15886
Billund,Danish citizen,2010,15834
Billund,Danish citizen,2011,15631
Billund,Danish citizen,2012,15494
Billund,Danish citizen,2013,15374
Billund,Danish citizen,2014,15131
Billund,Danish citizen,2015,15006
Billund,Danish citizen,2016,14862
Billund,Danish citizen,2017,14715
Billund,Danish citizen,2018,14552
Billund,Danish citizen,2019,14405
Billund,Danish citizen,2020,14171
Billund,Danish citizen,2021,14045
Billund,Danish citizen,2022,13851
Billund,Danish citizen,2023,13750
Billund,Danish citizen,2024,13637
Billund,Danish citizen,2025,13469
Billund,Danish citizen,2026,13181
Billund,Foreign citizen,2008,786
Billund,Foreign citizen,2009,827
Billund,Foreign citizen,2010,831
Billund,Foreign citizen,2011,945
Billund,Foreign citizen,2012,1038
Billund,Foreign citizen,2013,1161
Billund,Foreign citizen,2014,1332
Billund,Foreign citizen,2015,1422
Billund,Foreign citizen,2016,1665
Billund,Foreign citizen,2017,1778
Billund,Foreign citizen,2018,1890
Billund,Foreign citizen,2019,2089
Billund,Foreign citizen,2020,2158
Billund,Foreign citizen,2021,2254
Billund,Foreign citizen,2022,2440
Billund,Foreign citizen,2023,2854
Billund,Foreign citizen,2024,3050
Billund,Foreign citizen,2025,3155
Billund,Foreign citizen,2026,3352
Bornholm,Danish citizen,2008,26175
Bornholm,Danish citizen,2009,25818
Bornholm,Danish citizen,2010,25317
Bornholm,Danish citizen,2011,24825
Bornholm,Danish citizen,2012,24306
Bornholm,Danish citizen,2013,23630
Bornholm,Danish citizen,2014,23055
Bornholm,Danish citizen,2015,22479
Bornholm,Danish citizen,2016,22015
Bornholm,Danish citizen,2017,21718
Bornholm,Danish citizen,2018,21338
Bornholm,Danish citizen,2019,21080
Bornholm,Danish citizen,2020,20774
Bornholm,Danish citizen,2021,20550
Bornholm,Danish citizen,2022,20335
Bornholm,Danish citizen,2023,20082
Bornholm,Danish citizen,2024,19773
Bornholm,Danish citizen,2025,19349
Bornholm,Danish citizen,2026,18960
Bornholm,Foreign citizen,2008,962
Bornholm,Foreign citizen,2009,1012
Bornholm,Foreign citizen,2010,1045
Bornholm,Foreign citizen,2011,1068
Bornholm,Foreign citizen,2012,1094
Bornholm,Foreign citizen,2013,1147
Bornholm,Foreign citizen,2014,1175
Bornholm,Foreign citizen,2015,1279
Bornholm,Foreign citizen,2016,1494
Bornholm,Foreign citizen,2017,1575
Bornholm,Foreign citizen,2018,1656
Bornholm,Foreign citizen,2019,1681
Bornholm,Foreign citizen,2020,1747
Bornholm,Foreign citizen,2021,1805
Bornholm,Foreign citizen,2022,1851
Bornholm,Foreign citizen,2023,2035
Bornholm,Foreign citizen,2024,2104
Bornholm,Foreign citizen,2025,2120
Bornholm,Foreign citizen,2026,2226
Brøndby,Danish citizen,2008,19499
Brøndby,Danish citizen,2009,19314
Brøndby,Danish citizen,2010,19120
Brøndby,Danish citizen,2011,19066
Brøndby,Danish citizen,2012,18880
Brøndby,Danish citizen,2013,18777
Brøndby,Danish citizen,2014,18702
Brøndby,Danish citizen,2015,18701
Brøndby,Danish citizen,2016,18531
Brøndby,Danish citizen,2017,18610
Brøndby,Danish citizen,2018,18397
Brøndby,Danish citizen,2019,18227
Brøndby,Danish citizen,2020,17981
Brøndby,Danish citizen,2021,17875
Brøndby,Danish citizen,2022,17940
Brøndby,Danish citizen,2023,18421
Brøndby,Danish citizen,2024,18801
Brøndby,Danish citizen,2025,19056
Brøndby,Danish citizen,2026,18919
Brøndby,Foreign citizen,2008,2448
Brøndby,Foreign citizen,2009,2517
Brøndby,Foreign citizen,2010,2640
Brøndby,Foreign citizen,2011,2835
Brøndby,Foreign citizen,2012,2962
Brøndby,Foreign citizen,2013,3116
Brøndby,Foreign citizen,2014,3386
Brøndby,Foreign citizen,2015,3689
Brøndby,Foreign citizen,2016,3976
Brøndby,Foreign citizen,2017,4032
Brøndby,Foreign citizen,2018,4175
Brøndby,Foreign citizen,2019,4199
Brøndby,Foreign citizen,2020,4193
Brøndby,Foreign citizen,2021,4378
Brøndby,Foreign citizen,2022,4638
Brøndby,Foreign citizen,2023,5367
Brøndby,Foreign citizen,2024,6588
Brøndby,Foreign citizen,2025,7344
Brøndby,Foreign citizen,2026,7921
Brønderslev,Danish citizen,2008,21819
Brønderslev,Danish citizen,2009,21795
Brønderslev,Danish citizen,2010,21735
Brønderslev,Danish citizen,2011,21544
Brønderslev,Danish citizen,2012,21299
Brønderslev,Danish citizen,2013,21029
Brønderslev,Danish citizen,2014,20817
Brønderslev,Danish citizen,2015,20661
Brønderslev,Danish citizen,2016,20565
Brønderslev,Danish citizen,2017,20553
Brønderslev,Danish citizen,2018,20561
Brønderslev,Danish citizen,2019,20379
Brønderslev,Danish citizen,2020,20261
Brønderslev,Danish citizen,2021,20165
Brønderslev,Danish citizen,2022,20101
Brønderslev,Danish citizen,2023,20115
Brønderslev,Danish citizen,2024,20151
Brønderslev,Danish citizen,2025,20050
Brønderslev,Danish citizen,2026,19848
Brønderslev,Foreign citizen,2008,648
Brønderslev,Foreign citizen,2009,732
Brønderslev,Foreign citizen,2010,730
Brønderslev,Foreign citizen,2011,762
Brønderslev,Foreign citizen,2012,824
Brønderslev,Foreign citizen,2013,853
Brønderslev,Foreign citizen,2014,994
Brønderslev,Foreign citizen,2015,1162
Brønderslev,Foreign citizen,2016,1316
Brønderslev,Foreign citizen,2017,1389
Brønderslev,Foreign citizen,2018,1460
Brønderslev,Foreign citizen,2019,1555
Brønderslev,Foreign citizen,2020,1552
Brønderslev,Foreign citizen,2021,1564
Brønderslev,Foreign citizen,2022,1525
Brønderslev,Foreign citizen,2023,1742
Brønderslev,Foreign citizen,2024,1786
Brønderslev,Foreign citizen,2025,1891
Brønderslev,Foreign citizen,2026,1977
Christiansø,Danish citizen,2008,64
Christiansø,Danish citizen,2009,59
Christiansø,Danish citizen,2010,63
Christiansø,Danish citizen,2011,58
Christiansø,Danish citizen,2012,58
Christiansø,Danish citizen,2013,52
Christiansø,Danish citizen,2014,47
Christiansø,Danish citizen,2015,44
Christiansø,Danish citizen,2016,44
Christiansø,Danish citizen,2017,42
Christiansø,Danish citizen,2018,43
Christiansø,Danish citizen,2019,48
Christiansø,Danish citizen,2020,46
Christiansø,Danish citizen,2021,49
Christiansø,Danish citizen,2022,48
Christiansø,Danish citizen,2023,51
Christiansø,Danish citizen,2024,50
Christiansø,Danish citizen,2025,48
Christiansø,Danish citizen,2026,42
Christiansø,Foreign citizen,2008,3
Christiansø,Foreign citizen,2009,3
Christiansø,Foreign citizen,2010,4
Christiansø,Foreign citizen,2011,4
Christiansø,Foreign citizen,2012,4
Christiansø,Foreign citizen,2013,4
Christiansø,Foreign citizen,2014,6
Christiansø,Foreign citizen,2015,6
Christiansø,Foreign citizen,2016,6
Christiansø,Foreign citizen,2017,3
Christiansø,Foreign citizen,2018,3
Christiansø,Foreign citizen,2019,3
Christiansø,Foreign citizen,2020,3
Christiansø,Foreign citizen,2021,2
Christiansø,Foreign citizen,2022,3
Christiansø,Foreign citizen,2023,3
Christiansø,Foreign citizen,2024,3
Christiansø,Foreign citizen,2025,3
Christiansø,Foreign citizen,2026,7
Copenhagen,Danish citizen,2008,326772
Copenhagen,Danish citizen,2009,329190
Copenhagen,Danish citizen,2010,333621
Copenhagen,Danish citizen,2011,337788
Copenhagen,Danish citizen,2012,342830
Copenhagen,Danish citizen,2013,347973
Copenhagen,Danish citizen,2014,352098
Copenhagen,Danish citizen,2015,356642
Copenhagen,Danish citizen,2016,360439
Copenhagen,Danish citizen,2017,365964
Copenhagen,Danish citizen,2018,370400
Copenhagen,Danish citizen,2019,374125
Copenhagen,Danish citizen,2020,377469
Copenhagen,Danish citizen,2021,381222
Copenhagen,Danish citizen,2022,383412
Copenhagen,Danish citizen,2023,383776
Copenhagen,Danish citizen,2024,383928
Copenhagen,Danish citizen,2025,385965
Copenhagen,Danish citizen,2026,386423
Copenhagen,Foreign citizen,2008,51986
Copenhagen,Foreign citizen,2009,56721
Copenhagen,Foreign citizen,2010,59691
Copenhagen,Foreign citizen,2011,63877
Copenhagen,Foreign citizen,2012,64966
Copenhagen,Foreign citizen,2013,67079
Copenhagen,Foreign citizen,2014,70639
Copenhagen,Foreign citizen,2015,74308
Copenhagen,Foreign citizen,2016,79517
Copenhagen,Foreign citizen,2017,82115
Copenhagen,Foreign citizen,2018,86023
Copenhagen,Foreign citizen,2019,89844
Copenhagen,Foreign citizen,2020,92951
Copenhagen,Foreign citizen,2021,93851
Copenhagen,Foreign citizen,2022,97705
Copenhagen,Foreign citizen,2023,105555
Copenhagen,Foreign citizen,2024,110749
Copenhagen,Foreign citizen,2025,115079
Copenhagen,Foreign citizen,2026,117908
Dragør,Danish citizen,2008,7662
Dragør,Danish citizen,2009,7664
Dragør,Danish citizen,2010,7704
Dragør,Danish citizen,2011,7670
Dragør,Danish citizen,2012,7550
Dragør,Danish citizen,2013,7569
Dragør,Danish citizen,2014,7553
Dragør,Danish citizen,2015,7499
Dragør,Danish citizen,2016,7436
Dragør,Danish citizen,2017,7445
Dragør,Danish citizen,2018,7415
Dragør,Danish citizen,2019,7398
Dragør,Danish citizen,2020,7516
Dragør,Danish citizen,2021,7532
Dragør,Danish citizen,2022,7496
Dragør,Danish citizen,2023,7419
Dragør,Danish citizen,2024,7421
Dragør,Danish citizen,2025,7334
Dragør,Danish citizen,2026,7332
Dragør,Foreign citizen,2008,508
Dragør,Foreign citizen,2009,529
Dragør,Foreign citizen,2010,514
Dragør,Foreign citizen,2011,548
Dragør,Foreign citizen,2012,551
Dragør,Foreign citizen,2013,579
Dragør,Foreign citizen,2014,623
Dragør,Foreign citizen,2015,640
Dragør,Foreign citizen,2016,688
Dragør,Foreign citizen,2017,726
Dragør,Foreign citizen,2018,703
Dragør,Foreign citizen,2019,700
Dragør,Foreign citizen,2020,709
Dragør,Foreign citizen,2021,709
Dragør,Foreign citizen,2022,708
Dragør,Foreign citizen,2023,727
Dragør,Foreign citizen,2024,740
Dragør,Foreign citizen,2025,701
Dragør,Foreign citizen,2026,728
Egedal,Danish citizen,2008,25297
Egedal,Danish citizen,2009,25234
Egedal,Danish citizen,2010,25246
Egedal,Danish citizen,2011,24982
Egedal,Danish citizen,2012,24794
Egedal,Danish citizen,2013,24709
Egedal,Danish citizen,2014,24624
Egedal,Danish citizen,2015,24713
Egedal,Danish citizen,2016,24591
Egedal,Danish citizen,2017,24686
Egedal,Danish citizen,2018,24581
Egedal,Danish citizen,2019,24767
Egedal,Danish citizen,2020,24787
Egedal,Danish citizen,2021,24952
Egedal,Danish citizen,2022,25212
Egedal,Danish citizen,2023,25576
Egedal,Danish citizen,2024,25541
Egedal,Danish citizen,2025,25477
Egedal,Danish citizen,2026,25621
Egedal,Foreign citizen,2008,1071
Egedal,Foreign citizen,2009,1124
Egedal,Foreign citizen,2010,1171
Egedal,Foreign citizen,2011,1203
Egedal,Foreign citizen,2012,1281
Egedal,Foreign citizen,2013,1334
Egedal,Foreign citizen,2014,1391
Egedal,Foreign citizen,2015,1539
Egedal,Foreign citizen,2016,1734
Egedal,Foreign citizen,2017,1893
Egedal,Foreign citizen,2018,1964
Egedal,Foreign citizen,2019,2043
Egedal,Foreign citizen,2020,2056
Egedal,Foreign citizen,2021,2125
Egedal,Foreign citizen,2022,2278
Egedal,Foreign citizen,2023,2527
Egedal,Foreign citizen,2024,2696
Egedal,Foreign citizen,2025,2783
Egedal,Foreign citizen,2026,2987
Esbjerg,Danish citizen,2008,71882
Esbjerg,Danish citizen,2009,71533
Esbjerg,Danish citizen,2010,71253
Esbjerg,Danish citizen,2011,70800
Esbjerg,Danish citizen,2012,70158
Esbjerg,Danish citizen,2013,69606
Esbjerg,Danish citizen,2014,69040
Esbjerg,Danish citizen,2015,68604
Esbjerg,Danish citizen,2016,68073
Esbjerg,Danish citizen,2017,67597
Esbjerg,Danish citizen,2018,67097
Esbjerg,Danish citizen,2019,66315
Esbjerg,Danish citizen,2020,65859
Esbjerg,Danish citizen,2021,65501
Esbjerg,Danish citizen,2022,64895
Esbjerg,Danish citizen,2023,64179
Esbjerg,Danish citizen,2024,63473
Esbjerg,Danish citizen,2025,62924
Esbjerg,Danish citizen,2026,62365
Esbjerg,Foreign citizen,2008,4071
Esbjerg,Foreign citizen,2009,4612
Esbjerg,Foreign citizen,2010,4983
Esbjerg,Foreign citizen,2011,5106
Esbjerg,Foreign citizen,2012,5312
Esbjerg,Foreign citizen,2013,5398
Esbjerg,Foreign citizen,2014,5609
Esbjerg,Foreign citizen,2015,6027
Esbjerg,Foreign citizen,2016,6393
Esbjerg,Foreign citizen,2017,6464
Esbjerg,Foreign citizen,2018,6741
Esbjerg,Foreign citizen,2019,6696
Esbjerg,Foreign citizen,2020,6691
Esbjerg,Foreign citizen,2021,6673
Esbjerg,Foreign citizen,2022,6881
Esbjerg,Foreign citizen,2023,7497
Esbjerg,Foreign citizen,2024,7807
Esbjerg,Foreign citizen,2025,7986
Esbjerg,Foreign citizen,2026,8235
Faaborg-Midtfyn,Danish citizen,2008,31579
Faaborg-Midtfyn,Danish citizen,2009,31482
Faaborg-Midtfyn,Danish citizen,2010,31335
Faaborg-Midtfyn,Danish citizen,2011,30890
Faaborg-Midtfyn,Danish citizen,2012,30482
Faaborg-Midtfyn,Danish citizen,2013,29936
Faaborg-Midtfyn,Danish citizen,2014,29401
Faaborg-Midtfyn,Danish citizen,2015,29071
Faaborg-Midtfyn,Danish citizen,2016,28940
Faaborg-Midtfyn,Danish citizen,2017,28881
Faaborg-Midtfyn,Danish citizen,2018,28764
Faaborg-Midtfyn,Danish citizen,2019,28752
Faaborg-Midtfyn,Danish citizen,2020,28508
Faaborg-Midtfyn,Danish citizen,2021,28382
Faaborg-Midtfyn,Danish citizen,2022,28263
Faaborg-Midtfyn,Danish citizen,2023,28287
Faaborg-Midtfyn,Danish citizen,2024,28190
Faaborg-Midtfyn,Danish citizen,2025,28014
Faaborg-Midtfyn,Danish citizen,2026,27866
Faaborg-Midtfyn,Foreign citizen,2008,1094
Faaborg-Midtfyn,Foreign citizen,2009,1244
Faaborg-Midtfyn,Foreign citizen,2010,1247
Faaborg-Midtfyn,Foreign citizen,2011,1279
Faaborg-Midtfyn,Foreign citizen,2012,1341
Faaborg-Midtfyn,Foreign citizen,2013,1462
Faaborg-Midtfyn,Foreign citizen,2014,1587
Faaborg-Midtfyn,Foreign citizen,2015,1707
Faaborg-Midtfyn,Foreign citizen,2016,1900
Faaborg-Midtfyn,Foreign citizen,2017,2008
Faaborg-Midtfyn,Foreign citizen,2018,2071
Faaborg-Midtfyn,Foreign citizen,2019,2186
Faaborg-Midtfyn,Foreign citizen,2020,2086
Faaborg-Midtfyn,Foreign citizen,2021,2102
Faaborg-Midtfyn,Foreign citizen,2022,2229
Faaborg-Midtfyn,Foreign citizen,2023,2576
Faaborg-Midtfyn,Foreign citizen,2024,2632
Faaborg-Midtfyn,Foreign citizen,2025,2688
Faaborg-Midtfyn,Foreign citizen,2026,2818
Fanø,Danish citizen,2008,1962
Fanø,Danish citizen,2009,1922
Fanø,Danish citizen,2010,1888
Fanø,Danish citizen,2011,1845
Fanø,Danish citizen,2012,1821
Fanø,Danish citizen,2013,1767
Fanø,Danish citizen,2014,1730
Fanø,Danish citizen,2015,1675
Fanø,Danish citizen,2016,1631
Fanø,Danish citizen,2017,1603
Fanø,Danish citizen,2018,1607
Fanø,Danish citizen,2019,1593
Fanø,Danish citizen,2020,1616
Fanø,Danish citizen,2021,1589
Fanø,Danish citizen,2022,1556
Fanø,Danish citizen,2023,1521
Fanø,Danish citizen,2024,1457
Fanø,Danish citizen,2025,1427
Fanø,Danish citizen,2026,1441
Fanø,Foreign citizen,2008,80
Fanø,Foreign citizen,2009,97
Fanø,Foreign citizen,2010,112
Fanø,Foreign citizen,2011,110
Fanø,Foreign citizen,2012,116
Fanø,Foreign citizen,2013,111
Fanø,Foreign citizen,2014,123
Fanø,Foreign citizen,2015,135
Fanø,Foreign citizen,2016,152
Fanø,Foreign citizen,2017,168
Fanø,Foreign citizen,2018,170
Fanø,Foreign citizen,2019,163
Fanø,Foreign citizen,2020,166
Fanø,Foreign citizen,2021,158
Fanø,Foreign citizen,2022,145
Fanø,Foreign citizen,2023,158
Fanø,Foreign citizen,2024,161
Fanø,Foreign citizen,2025,143
Fanø,Foreign citizen,2026,166
Favrskov,Danish citizen,2008,28364
Favrskov,Danish citizen,2009,28484
Favrskov,Danish citizen,2010,28524
Favrskov,Danish citizen,2011,28456
Favrskov,Danish citizen,2012,28387
Favrskov,Danish citizen,2013,28169
Favrskov,Danish citizen,2014,27964
Favrskov,Danish citizen,2015,27953
Favrskov,Danish citizen,2016,27647
Favrskov,Danish citizen,2017,27567
Favrskov,Danish citizen,2018,27578
Favrskov,Danish citizen,2019,27474
Favrskov,Danish citizen,2020,27518
Favrskov,Danish citizen,2021,27344
Favrskov,Danish citizen,2022,27557
Favrskov,Danish citizen,2023,27591
Favrskov,Danish citizen,2024,27564
Favrskov,Danish citizen,2025,27508
Favrskov,Danish citizen,2026,27603
Favrskov,Foreign citizen,2008,887
Favrskov,Foreign citizen,2009,1022
Favrskov,Foreign citizen,2010,1054
Favrskov,Foreign citizen,2011,1115
Favrskov,Foreign citizen,2012,1174
Favrskov,Foreign citizen,2013,1270
Favrskov,Foreign citizen,2014,1336
Favrskov,Foreign citizen,2015,1575
Favrskov,Foreign citizen,2016,1900
Favrskov,Foreign citizen,2017,2015
Favrskov,Foreign citizen,2018,2123
Favrskov,Foreign citizen,2019,2223
Favrskov,Foreign citizen,2020,2214
