kommune,citizenship,year,count
Allerød,Iceland,2020,1
Allerød,Iran,2020,1
Allerød,Latvia,2020,1
Allerød,Lithuania,2020,8
Allerød,Netherlands,2020,1
Allerød,Norway,2020,1
Allerød,Philippines,2020,5
Allerød,Poland,2020,8
Allerød,Romania,2020,2
Allerød,Spain,2020,4
Allerød,USA,2020,4
Allerød,Ukraine,2020,1
Allerød,United Kingdom,2020,1
Assens,Argentina,2020,3
Assens,Bulgaria,2020,2
Assens,Chile,2020,2
Assens,Denmark,2020,77
Assens,Eritrea,2020,1
Assens,Germany,2020,1
Assens,Hungary,2020,3
Assens,Iceland,2020,2
Assens,Iraq,2020,1
Assens,Latvia,2020,4
Assens,Lithuania,2020,27
Assens,Nepal,2020,3
Assens,Norway,2020,2
Assens,Paraguay,2020,1
Assens,Poland,2020,19
Assens,Romania,2020,38
Assens,Slovakia,2020,4
Assens,Spain,2020,1
Assens,Sweden,2020,1
Assens,Syria,2020,3
Assens,Ukraine,2020,21
Assens,United Kingdom,2020,2
Assens,Vietnam,2020,1
Ballerup,Afghanistan,2020,1
Ballerup,Argentina,2020,2
Ballerup,Armenia,2020,1
Ballerup,Bangladesh,2020,3
Ballerup,Brazil,2020,1
Ballerup,Bulgaria,2020,7
Ballerup,Chile,2020,3
Ballerup,China,2020,4
Ballerup,Denmark,2020,76
Ballerup,Egypt,2020,1
Ballerup,Estonia,2020,1
Ballerup,Finland,2020,1
Ballerup,Germany,2020,13
Ballerup,Greece,2020,2
Ballerup,Hungary,2020,6
Ballerup,Iceland,2020,9
Ballerup,India,2020,37
Ballerup,Iran,2020,3
Ballerup,Iraq,2020,7
Ballerup,Italy,2020,2
Ballerup,Latvia,2020,1
Ballerup,Lithuania,2020,3
Ballerup,Morocco,2020,2
Ballerup,Nepal,2020,5
Ballerup,Norway,2020,3
Ballerup,Pakistan,2020,1
Ballerup,Philippines,2020,2
Ballerup,Poland,2020,9
Ballerup,Portugal,2020,2
Ballerup,Republic of North Macedonia,2020,2
Ballerup,Romania,2020,9
Ballerup,Slovenia,2020,1
Ballerup,Spain,2020,6
Ballerup,Sri Lanka,2020,4
Ballerup,Sweden,2020,3
Ballerup,Syria,2020,5
Ballerup,Taiwan,2020,1
Ballerup,Thailand,2020,1
Ballerup,Trinidad and Tobago,2020,1
Ballerup,Tunisia,2020,1
Ballerup,Turkey,2020,3
Ballerup,USA,2020,14
Ballerup,United Kingdom,2020,2
Billund,Australia,2020,3
Billund,Austria,2020,1
Billund,Belgium,2020,1
Billund,Bulgaria,2020,11
Billund,Canada,2020,2
Billund,China,2020,1
Billund,Croatia,2020,2
Billund,Czech Republic,2020,5
Billund,Denmark,2020,45
Billund,France,2020,5
Billund,Germany,2020,3
Billund,Greece,2020,1
Billund,Hungary,2020,3
Billund,India,2020,12
Billund,Ireland,2020,4
Billund,Italy,2020,6
Billund,Japan,2020,7
Billund,Latvia,2020,6
Billund,Lithuania,2020,2
Billund,Montenegro,2020,2
Billund,Morocco,2020,1
Billund,Netherlands,2020,1
Billund,Norway,2020,2
Billund,Philippines,2020,1
Billund,Poland,2020,13
Billund,Portugal,2020,4
Billund,Romania,2020,9
Billund,Russia,2020,1
Billund,Singapore,2020,1
Billund,Spain,2020,2
Billund,Syria,2020,3
Billund,Turkey,2020,3
Billund,USA,2020,6
Billund,Ukraine,2020,15
Billund,United Kingdom,2020,17
Bornholm,Argentina,2020,13
Bornholm,Australia,2020,1
Bornholm,Bosnia and Herzegovina,2020,1
Bornholm,Brazil,2020,1
Bornholm,Bulgaria,2020,1
Bornholm,Canada,2020,1
Bornholm,Chile,2020,5
Bornholm,Cuba,2020,1
Bornholm,Czech Republic,2020,2
Bornholm,Denmark,2020,57
Bornholm,Eritrea,2020,1
Bornholm,France,2020,1
Bornholm,Germany,2020,2
Bornholm,Iceland,2020,2
Bornholm,Ireland,2020,2
Bornholm,Italy,2020,2
Bornholm,Japan,2020,5
Bornholm,Lithuania,2020,2
Bornholm,Malaysia,2020,1
Bornholm,Norway,2020,3
Bornholm,Not stated,2020,1
Bornholm,Philippines,2020,1
Bornholm,Poland,2020,6
Bornholm,Romania,2020,4
Bornholm,Sweden,2020,10
Bornholm,Syria,2020,4
Bornholm,USA,2020,8
Bornholm,Ukraine,2020,8
Bornholm,United Kingdom,2020,2
Brøndby,Argentina,2020,4
Brøndby,Austria,2020,1
Brøndby,Azerbaijan,2020,1
Brøndby,Bulgaria,2020,7
Brøndby,Canada,2020,1
Brøndby,Chile,2020,3
Brøndby,China,2020,4
Brøndby,Croatia,2020,1
Brøndby,Denmark,2020,99
Brøndby,Finland,2020,1
Brøndby,France,2020,1
Brøndby,Germany,2020,2
Brøndby,Greece,2020,1
Brøndby,Iceland,2020,1
Brøndby,India,2020,3
Brøndby,Iraq,2020,1
Brøndby,Italy,2020,5
Brøndby,Jamaica,2020,1
Brøndby,Japan,2020,1
Brøndby,Lithuania,2020,9
Brøndby,Moldova,2020,1
Brøndby,Morocco,2020,1
Brøndby,Nepal,2020,5
Brøndby,Netherlands,2020,1
Brøndby,Pakistan,2020,4
Brøndby,Poland,2020,3
Brøndby,Republic of North Macedonia,2020,1
Brøndby,Romania,2020,9
Brøndby,Slovakia,2020,1
Brøndby,Spain,2020,3
Brøndby,Sweden,2020,7
Brøndby,Togo,2020,1
Brøndby,Turkey,2020,5
Brøndby,USA,2020,3
Brøndby,United Kingdom,2020,3
Brønderslev,Argentina,2020,5
Brønderslev,Belgium,2020,4
Brønderslev,Brazil,2020,1
Brønderslev,Bulgaria,2020,3
Brønderslev,Canada,2020,1
Brønderslev,Colombia,2020,2
Brønderslev,"Congo, Democratic Republic",2020,1
Brønderslev,Costa Rica,2020,1
Brønderslev,Croatia,2020,2
Brønderslev,Denmark,2020,53
Brønderslev,Dominican Republic,2020,1
Brønderslev,Eritrea,2020,2
Brønderslev,Finland,2020,7
Brønderslev,Germany,2020,3
Brønderslev,Greece,2020,1
Brønderslev,Hungary,2020,1
Brønderslev,Iceland,2020,2
Brønderslev,Iraq,2020,2
Brønderslev,Italy,2020,4
Brønderslev,Latvia,2020,1
Brønderslev,Mexico,2020,2
Brønderslev,New Zealand,2020,1
Brønderslev,Nigeria,2020,1
Brønderslev,Norway,2020,5
Brønderslev,Philippines,2020,2
Brønderslev,Poland,2020,9
Brønderslev,Romania,2020,21
Brønderslev,Somalia,2020,3
Brønderslev,Spain,2020,1
Brønderslev,Sweden,2020,1
Brønderslev,Switzerland,2020,1
Brønderslev,Syria,2020,7
Brønderslev,Thailand,2020,2
Brønderslev,Uganda,2020,3
Brønderslev,Ukraine,2020,15
Brønderslev,United Kingdom,2020,1
Brønderslev,Vietnam,2020,1
Copenhagen,Afghanistan,2020,5
Copenhagen,Albania,2020,3
Copenhagen,Algeria,2020,2
Copenhagen,Argentina,2020,909
Copenhagen,Armenia,2020,4
Copenhagen,Australia,2020,194
Copenhagen,Austria,2020,73
Copenhagen,Azerbaijan,2020,1
Copenhagen,Bangladesh,2020,74
Copenhagen,Barbados,2020,1
Copenhagen,Belarus,2020,9
Copenhagen,Belgium,2020,105
Copenhagen,Bolivia,2020,1
Copenhagen,Bosnia and Herzegovina,2020,18
Copenhagen,Brazil,2020,90
Copenhagen,Bulgaria,2020,102
Copenhagen,Burundi,2020,2
Copenhagen,Cambodia,2020,1
Copenhagen,Cameroon,2020,1
Copenhagen,Canada,2020,151
